IAD,-6
HNL,-8
FAT,-3
LAX,-2
PHX,61
PIT,3
MSP,-3
BWI,-7
MSY,-3
PHX,4
FLL,-5
PHL,-10
LAX,-6
MEM,-9
BOS,-5
AUS,-3
DFW,70
CLE,3
LAX,-9
SJC,-3
PDX,-1
LAS,-13
SEA,-6
LGB,-2
LAX,0
AVL,8
HSV,1
BNA,-6
SAF,0
GRR,0
XNA,10
SUX,-4
LFT,0
ORD,34
PSP,71
HYS,0
BOS,1
HNL,47
JFK,-3
DTW,22
EWR,-4
SAN,2
DFW,-1
RIC,-10
TPA,-1
TPA,-1
CAK,-4
MCO,-4
ABQ,0
PVD,1
PHL,-4
PHL,-2
MIA,4
TUL,0
LAX,-5
DFW,-8
BWI,-8
DFW,0
SFO,-3
MKE,-2
PDX,-3
MCO,-4
JFK,-10
MSP,-3
ATL,-1
MFE,-8
TTN,24
ELP,0
HSV,2
ABQ,17
RDU,0
EWR,-3
DCA,-4
MCO,-1
DCA,-6
JFK,0
JFK,-4
LGA,-1
PSP,-1
DVL,0
ALB,10
PDX,-2
EWR,-1
JAX,-5
CLE,-8
CLT,-6
IAH,-4
IND,-3
DFW,-5
LGA,-2
BOS,-4
BOS,0
SFO,-1
SNA,1
SFO,-2
JFK,-5
LAS,-1
BUF,0
BWI,-2
BWI,-5
CLE,0
DCA,-5
ISP,4
MDW,3
MDW,-1
MSP,-4
PIT,-2
SAT,-5
HOU,0
MCO,328
EWR,6
ORD,-2
ATL,-2
SLC,1
BOI,-1
DCA,1
JFK,-11
ATL,-4
LAX,-10
SFO,3
BOS,-7
MIA,-3
DFW,-8
LGA,-2
FAT,45
BOS,-1
LAS,-4
MIA,83
DFW,-5
MCO,-2
MIA,-4
TPA,-4
SEA,-4
DFW,-5
TUS,0
DFW,0
LGA,-4
EWR,1
MSP,-5
ANC,-7
PSP,-9
SFO,-9
SJC,-5
PDX,-2
LAX,-5
SEA,-4
SNA,-15
BUR,124
LAS,-1
PHX,-7
SLC,17
PDX,-3
SAN,-4
OAK,-11
LAX,-7
BOS,-10
BOS,-3
DCA,-8
BOS,133
PDX,-11
BOS,-4
BOS,0
PIT,-6
SEA,12
PDX,-3
JFK,2
SEA,-8
SFO,1
DCA,3
ORF,1
DAB,-2
PBI,-1
SLC,-3
SEA,-4
DAY,0
MSP,-1
LGA,-3
RSW,-3
MIA,-3
CLE,-1
PBI,-4
JFK,-1
MKE,7
RDU,-13
JFK,0
FLL,0
LAX,-7
LAS,-6
MSP,4
MSP,-1
JFK,117
CLE,-3
LFT,7
SHV,4
ROC,-8
CID,-6
PVD,-2
ORD,-11
CLE,1
DEN,62
MCO,-2
DFW,4
GRK,0
PNS,0
GJT,0
HPN,-5
BMI,0
DFW,0
ATL,25
ACY,-5
LBE,-5
IAH,43
FLL,12
FLL,4
ASE,4
BUR,-10
SAN,21
KOA,-4
SEA,-13
RKS,0
SBA,-4
BOI,10
CPR,-4
COS,-5
ORD,4
PHX,24
MSY,4
CLE,-1
MIA,0
BTR,-9
BTV,-1
FLL,1
SFO,29
ORD,8
SFO,-3
BDL,-2
BWI,-5
CMH,0
DAL,-2
DAL,0
FLL,-6
MCO,-6
MDW,0
OAK,4
SAT,29
TPA,-2
TUS,-7
SNA,-7
RDU,-8
MKE,2
BWI,-1
SAN,-6
PDX,-4
ORF,-4
OKC,5
MIA,-2
MIA,-4
PHX,8
IND,24
CMH,-7
LAS,-5
LGB,-10
FLL,-3
STL,-2
MSP,-2
LGA,-4
SEA,0
SAN,-2
SLC,-2
MSP,-2
LIT,-7
LGA,-6
FSD,8
ABI,0
FAR,0
EUG,-13
SJC,-5
LAX,-3
BUF,-3
LIH,107
MCO,-2
SHV,-2
MCO,-4
OGG,-6
LAS,-3
GUM,51
LAX,-3
ORF,-4
AUS,-1
CAK,-1
CMH,15
DAL,-1
LAS,-4
SAN,-1
ONT,33
PHX,32
PIT,-1
MCO,-5
SFO,-7
PHX,11
DFW,9
ANC,-4
SEA,-1
PHL,-6
CMH,-2
CVG,-2
BOS,-2
IND,-4
TVC,-1
DCA,-2
ALO,-8
TLH,-1
TPA,-3
ASE,42
MEM,-3
RIC,-3
AUS,-7
FLL,-3
MIA,15
LAS,-5
HNL,4
JFK,-3
IAH,1
CLE,0
SFO,0
MSY,0
SEA,-1
BOI,27
BNA,-1
CMH,2
DCA,-5
ISP,1
MCO,-5
SAN,-6
SEA,0
STL,-6
HOU,-4
PHX,-3
BWI,-7
PBI,-3
MIA,4
MIA,32
SEA,-5
ELP,4
MIA,-2
MIA,75
AUS,44
ONT,2
DFW,-4
RNO,-3
DFW,-1
SMF,-5
PBI,-6
BOS,-5
MCO,-11
BOS,9
MEM,-2
CLT,8
PHX,54
PHX,74
MSY,-3
RDU,-3
BOS,-2
LAS,-3
MCI,-7
IAH,-2
CLE,164
IAD,-10
MCO,-13
XNA,-3
MHK,40
DFW,-3
TUS,0
IMT,0
MRY,-1
ASE,5
EWR,-3
SFO,-8
FLL,11
MCO,-4
CRP,-8
BZN,-3
JFK,-1
MAF,0
ITO,-6
DTW,16
ORD,82
IAH,-1
SFO,-6
ORD,0
LAX,-5
LGA,0
MCI,-4
MKE,-4
ALB,0
PVD,1
SFO,14
PDX,-3
IAH,0
TPA,-4
SFO,-6
DFW,39
SAT,-5
IAD,-6
BWI,9
MIA,-4
MIA,9
BDL,0
LAX,-3
SEA,10
SEA,8
PDX,-8
OAK,19
BDL,-5
BDL,-3
DEN,-3
ATL,-1
CVG,-1
PDX,-6
ORD,-7
CLE,8
IAH,-10
IAH,-2
DFW,0
LCH,0
LIT,-9
BIS,-9
DFW,0
IAH,12
ORF,-1
LAX,26
TYS,-7
ELP,-8
HNL,-9
LAS,-7
JNU,-4
EWR,12
HNL,3
JAC,-1
PHX,40
IAH,13
ORD,-4
BDL,5
DEN,-7
FLL,-3
ATL,-4
PIT,0
RIC,-1
PHL,-4
EWR,2
CMH,0
DTW,-5
SJC,0
ABQ,14
PSP,11
TPA,-8
DFW,2
BNA,-1
PDX,-1
SEA,-2
SEA,0
BUF,6
FLL,5
IAH,-3
ATL,-2
RAP,29
DFW,0
MEI,-1
CVG,-2
DBQ,-4
GCK,0
GNV,-7
DTW,4
ORD,-6
SLC,15
BRD,-2
SAT,-5
TUS,-12
MCO,0
HNL,6
IAH,2
IAH,0
IAH,-7
DIK,-8
TPA,-5
BTV,-5
IAH,-1
LGA,11
ATL,12
JFK,-4
LGA,-7
